ID;ID_BASE;TIPO_DATO;FECHA;DEPARTAMEN;MUNICIPIO;TIPO_SUELO;SUBZONA;DIRECCION;TIPO_INMUE;ZHF;ZHG;VALOR_ZHG;ESTRATO;ANIO_CONST;ESTADO_CON;AREA_TERRE;AREA_CONST;VALOR_M2_I;VALOR_TOTA;VALOR_ARRI;VALOR_ADMI;NUM_PISOS;NUM_HABITA;NUM_BANIOS;NUM_PARQ;ZONAS_COMU;ACUEDUCTO;ALCANTARIL;ENERGIA;GAS;FUENTE;NOMBRE_FUE;LATITUD;LONGITUD;FECHA_VALO
108012;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SALLE;;APARTAMENTO;;;;4;;;;41,75;8860455;369924000;;;;1;1;0;;;;;;FR_96860;FINCA_RAIZ;4,642814159;-74,05651093;01/07/2020
108017;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BOSQUE CALDERON;;APARTAMENTO;;;;4;1997;;;112;5267857;590000000;;;;3;3;1;;;;;;FR_96865;FINCA_RAIZ;4,640930176;-74,06001282;01/07/2020
108018;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;25,38;6660000;169030800;;;;1;1;0;;;;;;FR_96866;FINCA_RAIZ;4,645249844;-74,06430817;01/07/2020
108019;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PALERMO;;APARTAMENTO;;;;3;2015;;;44;7511364;330500000;;264000;;1;2;1;;;;;;FR_96867;FINCA_RAIZ;4,633999825;-74,06800079;01/07/2020
108020;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;29,43;7283658;214358051;;;;1;1;10;;;;;;FR_96868;FINCA_RAIZ;4,640589714;-74,06394196;01/07/2020
108021;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN FELIPE;;APARTAMENTO;;;;3;;;;34,09;5808155;198000000;;;;1;1;0;;;;;;FR_96869;FINCA_RAIZ;4,663134952;-74,06375678;01/07/2020
108022;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHICO NORTE II SECTOR;;APARTAMENTO;;;;6;;;;148;5743243;850000000;;800000;;3;3;2;;;;;;FR_96870;FINCA_RAIZ;4,679931641;-74,04164124;01/07/2020
108023;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;INGEMAR;;APARTAMENTO;;;;5;1997;;;108;6203704;670000000;;438000;;3;3;2;;;;;;FR_96871;FINCA_RAIZ;4,642175198;-74,05666351;01/07/2020
108024;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN LUIS;;APARTAMENTO;;;;4;2015;;;48;6770833;325000000;;;;1;2;1;;;;;;FR_96872;FINCA_RAIZ;4,642640114;-74,07234192;01/07/2020
108026;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;25,38;6660000;169030800;;;;1;1;0;;;;;;FR_96874;FINCA_RAIZ;4,645249844;-74,06430817;01/07/2020
108029;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;38;7894737;300000000;;243000;;1;1;0;;;;;;FR_96877;FINCA_RAIZ;4,644859791;-74,06195068;01/07/2020
108032;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA CABRERA;;APARTAMENTO;;;;6;1997;;;163;6073620;990000000;;871825;;3;3;2;;;;;;FR_96880;FINCA_RAIZ;4,669000149;-74,05200195;01/07/2020
108034;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;25,38;6660000;169030800;;;;1;1;0;;;;;;FR_96882;FINCA_RAIZ;4,645249844;-74,06430817;01/07/2020
108035;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PALERMO;;APARTAMENTO;;;;4;;;;42;5595238;235000000;;;;1;1;0;;;;;;FR_96883;FINCA_RAIZ;4,63395977;-74,07111359;01/07/2020
108036;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO OCCIDENTAL;;APARTAMENTO;;;;4;;;;46;5000000;230000000;;;;1;1;0;;;;;;FR_96884;FINCA_RAIZ;4,64529705;-74,06778717;01/07/2020
108037;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;25,38;6660000;169030800;;;;1;1;0;;;;;;FR_96885;FINCA_RAIZ;4,645249844;-74,06430817;01/07/2020
108038;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SALLE;;APARTAMENTO;;;;4;;;;41,75;8860455;369924000;;;;1;1;0;;;;;;FR_96887;FINCA_RAIZ;4,642814159;-74,05651093;01/07/2020
108039;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN FELIPE;;APARTAMENTO;;;;3;;;;34,09;5808155;198000000;;;;1;1;0;;;;;;FR_96888;FINCA_RAIZ;4,663134952;-74,06375678;01/07/2020
108040;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA CABRERA;;APARTAMENTO;;;;6;1997;;;216;8101852;1750000000;;1800000;;3;4;2;;;;;;FR_96889;FINCA_RAIZ;4,668000221;-74,04699707;01/07/2020
