ID,ID_BASE,TIPO_DATO,FECHA,DEPARTAMEN,MUNICIPIO,TIPO_SUELO,SUBZONA,DIRECCION,TIPO_INMUE,ZHF,ZHG,VALOR_ZHG,ESTRATO,ANIO_CONST,ESTADO_CON,AREA_TERRE,AREA_CONST,VALOR_M2_I,VALOR_TOTA,VALOR_ARRI,VALOR_ADMI,NUM_PISOS,NUM_HABITA,NUM_BANIOS,NUM_PARQ,ZONAS_COMU,ACUEDUCTO,ALCANTARIL,ENERGIA,GAS,FUENTE,NOMBRE_FUE,LATITUD,LONGITUD,FECHA_VALO
131351,Big Data Gesvalt_1,VENTA,01/10/19,VALLE DEL CAUCA,CALI,URBANO,UNIDAD RESIDENCIAL SANTIAGO DE CALI,,APARTAMENTO,,,,5,1990,,,118.0,3262712.0,385000000.0,,385000,,3.0,3.0,2,,,,,,GI_212771,GALERIA_INMOBILIARIA,3.41406,-76.54791,01/10/19
131353,Big Data Gesvalt_1,VENTA,01/07/19,VALLE DEL CAUCA,CALI,URBANO,EL INGENIO,,APARTAMENTO,,,,5,2006,,,86.0,2732558.0,235000000.0,,80000,,3.0,3.0,2,,,,,,GI_359715,GALERIA_INMOBILIARIA,3.38564,-76.52668,01/07/19
131354,Big Data Gesvalt_1,VENTA,01/07/19,VALLE DEL CAUCA,CALI,URBANO,EL PENON,,APARTAMENTO,,,,5,1984,,,140.0,2857143.0,400000000.0,,560000,,3.0,3.0,2,,,,,,GI_385490,GALERIA_INMOBILIARIA,3.45007,-76.54119,01/07/19
131355,Big Data Gesvalt_1,VENTA,01/06/19,VALLE DEL CAUCA,CALI,URBANO,CUARTO DE LEGUA GUADALUPE,,APARTAMENTO,,,,5,1998,,,170.0,1823529.0,310000000.0,,210000,,3.0,3.0,1,,,,,,GI_519699,GALERIA_INMOBILIARIA,3.40775,-76.55323,01/06/19
131358,Big Data Gesvalt_1,VENTA,01/06/19,VALLE DEL CAUCA,CALI,URBANO,SAN VICENTE,,APARTAMENTO,,,,4,2000,,,94.0,1968085.0,185000000.0,,360000,,2.0,3.0,1,,,,,,GI_828123,GALERIA_INMOBILIARIA,3.46498,-76.52846,01/06/19
131365,Big Data Gesvalt _7,VENTA,10/05/21,VALLE DEL CAUCA,CALI,,PAMPA LINDA,,APARTAMENTO,,,,5,2020,Excelente,,110.0,2590909.0,285000000.0,,$ -,2,4.0,3.0,1,,,,,,Finca_6172620,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pampa_linda-det-6172620.aspx,3.40418601,-76.55213165,10/05/21
131367,Big Data Gesvalt _7,VENTA,10/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,5,2020,Excelente,,84.0,3630952.0,305000000.0,,$235.000,8,3.0,2.0,1,,,,,,Finca_6127579,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6127579.aspx,3.365458012,-76.52294922,10/05/21
131374,Big Data Gesvalt _7,VENTA,10/05/21,VALLE DEL CAUCA,CALI,,CIUDAD BOCHALEMA,,APARTAMENTO,,,,4,2020,Excelente,,63.0,2777778.0,175000000.0,,$170.000,3,2.0,2.0,1,,,,,,Finca_6095042,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ciudad_bochalema-det-6095042.aspx,3.419993401,-76.55218506,10/05/21
131379,Big Data Gesvalt _7,VENTA,10/05/21,VALLE DEL CAUCA,CALI,,LIDO,,APARTAMENTO,,,,4,2012,0,,95.0,2842105.0,270000000.0,,$319.500,1,3.0,2.0,2,,,,,,Finca_5770451,https://www.fincaraiz.com.co/apartamento-en-venta/cali/lido-det-5770451.aspx,3.418096066,-76.55027008,10/05/21
131380,Big Data Gesvalt _7,VENTA,10/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,5,2012,0,,74.0,3243243.0,240000000.0,,$217.000,7,3.0,2.0,1,,,,,,Finca_6236817,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6236817.aspx,3.376071692,-76.51726532,10/05/21
